mod_id,penalty,whitelist,parameters
com.pa.quitch.qQuellerAI,1,0,
com.pa.quitch.qAIModCompatibilityPatch,1,1,
com.pa.ematarkus.moarbiomes.server,0.97,1,
com.pa.legion-expansion-server,0.99,0,"{""legion"":1}"
com.pa.quitch.qaipersonalities,1,0,
uk.pa.tetcsupcom,0.9,0,"{""supercommander"":1}"
com.pa.fabberking.combined.legion.mla,0.99,0,"{""legion_and_mla"":1}"
com.wondible.pa.hodgepodge,1,1,
com.pa.anon.earth.server,0.99,1,
com.pa.bugged.adv_fighter_mod,0.95,0,
com.pa.grandhomie.simplebiomes.server,1,1,"{""metal"":6,""t2"":3}"
com.pa.dissonant.dissonant,0.98,0,
com.pa.dissonant.slamjam-server-c,1,1,
com.pa.grandhomie.metalbalance,0.99,0,
com.pa.anonemous2.alienworlds.released.server,0.97,1,
nl.pa.Pwn4two.no-fog,0.98,0,
net.teamfruit.pa.anonymous-mod,0.97,0,
com.s03g.funmod2,0.9,0,
com.stuart98.po.server.dev,0.7,0,"{""legion"":1,""PO"":1}"
com.pa.localisation-test-server,1,0,
com.pa.anonemous2.bluemoon.server,1,1,
com.pa.fabberking.gashybrid.server,0.99,1,
uk.pa.tetctree.server,1,1,
com.pa.quitch.qDelayedOrbitalTransports,1,0,
com.heiz.aurora_arty,0.7,0,
com.pa.mikeyh.display-ranks,1,1,
com.pa.mikeyh.lobby-system-preview,1,1,
com.pa.mikeyh.meteors-server,1,1,
com.pa.mikeyh.ready-up,1,1,
com.pa.mikeyh.who-deleted-that,1,1,
com.pa.domdom.guma_guma_slide,0.95,0,"{""guma"":1,""arcade"":1,""casual"":1}"
com.acesoyster.pa.monobattles,0.95,0,"{""casual"":1}"
com.pa.n30n.masquerade,1,0,
com.flubbateios.trickshot,1,0,"{""arcade"":1}"
nl.pa.river.combuildrange,1,0,
ca.pa.metapod.wall,1,0,"{""casual"":1}"
com.flubbateios.sfx,1,0,
com.lars024.kaijuteleporter,0.9,0,
com.stuart98.bettahbalance,0.96,0,
com.pa.killerkiwijuice.antlyf,0.98,0,"{""casual"":1}"
MetalHeck,0.97,0,"{""casual"":1,""metal"":60}"
com.pa.burntcustard.bBoomBotWars,0.98,0,"{""casual"":1}"
com.pa.killerkiwijuice.doxlyf,0.98,0,"{""casual"":1}"
com.pa.kiwi.swarm,0.98,0,"{""casual"":1}"
com.wondible.pa.devastated_metal_biome.server,1,1,
com.wondible.pa.junkyard_biome.server,1,0,
com.wondible.pa.peppermint_planet.server,1,1,
com.flubbateios.unpause,1,1,
com.elodea.battleship.minimod,0.98,0,
com.wondible.pa.baboom,0.97,0,"{""casual"":1}"
"com.wondible.pa.commander_regeneration""",0.98,0,
com.wondible.pa.titan_gantry,0.98,0,
com.Themonkey.Onlyland,0.98,0,
com.Themonkey.DoxOP,0.97,0,"{""casual"":1}"
com.stuart98.zhtaunts,1,1,
com.przemek2122.nuke_warfare,0.97,0,
com.titans.server.robintick.kickstarter_commander,0.98,0,
uk.pa.tetccs,1,1,
nl.pa.combatfaber-no-reclaim,0.97,0,
com.wondible.pa.puppetmaster_cinematic,1,0,
com.aidinabedi.pa.preloaded_antinukes,0.98,0,
FixReclaim-server,0.96,0,
com.pa.true-economy,0.96,0,
rainbow_racers_server,0.95,0,"{""arcade"":1,""casual"":1}"
com.pa.orbital_warfare_overhaul,0.5,0,
com.wondible.pa.weapons_tracking,0.99,0,
com.pa.angry.robots,0.95,0,
mod,0.98,0,
com.pa.kiwi.bomber_priority,0.96,0,
MysticalFists.AIST2.Cheats,0.01,0,
com.pa.kiwi.no_lame_ass_ragnarok,0.94,0,
com.pa.startege.TCommander,0.6,0,
com.wondible.pa.timed_squalls,0.97,0,
com.wondible.pa.puppetmaster,1,0,
com.wondible.pa.battle_for_the_tank,0.9,0,
com.titans.server.robintick.war_turtle,0.95,0,
com.wondible.pa.preloaded_nukes,0.98,0,
com.wondible.pa.extreme_energy_combat,0.96,0,"{""energy"":-10}"
com.wondible.pa.extremely_efficient_engineers,0.97,0,"{""casual"":1,""energy"":40}"
com.wondible.pa.finite_metal,1,0,"{""metal"": -20}"
com.wondible.pa.minimal_mex,0.99,0,"{""metal"":-60}"
com.wondible.pa.low_energy_commander,0.99,0,"{""energy"":-5}"
com.wondible.pa.no_metal_commander,0.99,0,"{""metal"":-5}"
com.wondible.pa.reclaimable_features,1,0,"{""metal"":4}"
com.wondible.pa.wreckage,0.97,0,"{""metal"":5}"
MysticalFists.AIS.Cheats,0.01,0,
info.nanodesu.brushlib.server,0.98,0,
com.pa.Rancor.server.cliffplanets,0.98,0,
info.nanodesu.murderparty,0.98,0,
nl.pa.river.unitrush,0.85,0,
com.pa.dissonant.subfactions,0.9,0,
com.pa.dissonant.hypa,0.99,0,"{""metal"":30,""energy"":30,""buildspeed"":30,""unitspeed"":18}"
com.pa.union.union_server_test,0.98,0,
com.pa.dissonant.cambridge-analytica-2,1,1,
com.pa.high-metal-legion-balance,1,0,
com.pa.dissonant.farm-sim,0.97,0,"{""metal"":60,""energy"":-30}"
community-mods-server,1,1,
