Id;UberId;PastatsId;GamesPlayed;Name
1;1320713415489290000;0;1;apple tree
2;7906538151964320000;0;2;Navy_CL
3;14736420138209500000;0;0;AEROX
4;7867023111059500000;0;2;TigerFox (1)
5;8653755754854910000;0;12;silver 2
6;7889250098679510000;0;0;xplayerCZ hellcase.com
7;16540299469378900000;0;4;[GRWL] GNGR
8;3715517323020230000;0;4;Turtle Shell
9;13742984155118500000;0;2;Baco (1)
10;1898727113627420000;0;2;Mole (3)
11;9151524065490480000;0;0;Reme86
12;760264168183826000;0;2;olmu19
13;13202898094425900000;0;0;[RLM]Mot9001
14;15609910118936900000;0;0;---OnlyNoobsBelow---
15;16939671124502500000;0;0;Schwi
16;2519748415606840000;0;0;Wakanda
17;17825137159196200000;0;4;superobot
18;5820518088543210000;0;4;darklaw
19;6433328363653250000;0;2;alexgillatt
20;588758874842416000;0;2;Fahrenheit
21;1731206050380210000;0;0;IKON Mark
22;7819809156335260000;0;0;THR | Darkenfog
23;12725283119396300000;0;1;hancok62
24;4006102022733510000;0;0;Hamb112
25;1398376448419290000;0;0;Muad Dib (3)
26;9395468961116660000;0;0;[WAF] n3wb13
27;15752772342326300000;0;0;Ch3w84cc4
28;636544474507771000;0;0;Gueug (Paris-FR)
29;5850138658632570000;0;0;SmileTi
30;11818648260410300000;0;1;Røbis_føx
31;9982286892308580000;0;2;gagandeeps117
32;393096163532040000;0;1;ICO (1)
33;5667629188403930000;0;2;Oarack Bobama
34;10276641141955900000;0;0;ZerlyDely
35;9511454673137340000;0;2;POTATO :D
36;12360547397795800000;0;2;Duck_man123
37;12300294024506800000;0;2;Axeonalias
38;12054106066376100000;0;1;Deadly Freedom
39;12981380694878600000;0;0;Bread (13)
40;11186760452870300000;0;0;Bidspark
41;8192049859757740000;0;2;supernovaparanoia
42;8786545996462820000;0;0;Lrod Yokcos
43;6299978977712780000;0;0;UltimateGamer29°
44;9924734900552500000;0;3;TSOL.Qwerty
45;15923688611013900000;0;0;old_beef
46;17082403735174000000;0;0;Tom0911
47;5587718123243870000;0;0;the rainbownator 9000
48;17977710407910300000;0;0;maps
49;6971556149500000000;0;2;Thirteen Fox
50;14546187624099700000;0;2;Drakuer
51;7852820699342470000;0;1;Varón Del Invisante
52;2508136386768990000;0;2;ErCrash
53;9466931987049550000;0;0;MXRch
54;5626081399194070000;0;2;Gino Palma
